Day,Date,DotW,Faculty_A,Faculty_B,Faculty_C,Faculty_F,Faculty_G,Faculty_H,Faculty_J,Faculty_E
91,2026-09-29,T,,,,,CYTOLOGY,NON-CLINICAL,,x
92,2026-09-30,W,,,,,CYTOLOGY,NON-CLINICAL,,x
93,2026-10-01,R,,x,,,,NON-CLINICAL,,
94,2026-10-02,F,,,,,,NON-CLINICAL,,
95,2026-10-03,St,x,x,x,x,x,x,x,x
96,2026-10-04,Su,x,x,x,x,x,x,x,x
97,2026-10-05,M,,,,,,,,
98,2026-10-06,T,,,,,,,,
99,2026-10-07,W,,,,,,,,
100,2026-10-08,R,,x,,,,,,
101,2026-10-09,F,,,,,,,,
102,2026-10-10,St,x,x,x,x,x,x,x,x
103,2026-10-11,Su,x,x,x,x,x,x,x,x
104,2026-10-12,M,CYTOLOGY,,,,GYN,,,
105,2026-10-13,T,CYTOLOGY,,,,GYN,,,
106,2026-10-14,W,CYTOLOGY,,,,GYN,,,
107,2026-10-15,R,CYTOLOGY,x,,,,,,
108,2026-10-16,F,CYTOLOGY,,,,,,,
109,2026-10-17,St,x,x,x,x,x,x,x,x
110,2026-10-18,Su,x,x,x,x,x,x,x,x
111,2026-10-19,M,,,,,CYTOLOGY,,,
112,2026-10-20,T,,,,,,,,
113,2026-10-21,W,,,,,CYTOLOGY,VACATION,,
114,2026-10-22,R,,x,,,,VACATION,,
115,2026-10-23,F,,,,,,VACATION,,
116,2026-10-24,St,x,x,x,x,x,x,x,x
117,2026-10-25,Su,x,x,x,x,x,x,x,x
118,2026-10-26,M,VACATION,,,,CYTOLOGY,NON-CLINICAL,,
119,2026-10-27,T,VACATION,,,,,NON-CLINICAL,,
120,2026-10-28,W,VACATION,,,,,NON-CLINICAL,,
121,2026-10-29,R,VACATION,x,,,,NON-CLINICAL,,
122,2026-10-30,F,VACATION,,,,,NON-CLINICAL,,
123,2026-10-31,St,x,x,x,x,x,x,x,x
124,2026-11-01,Su,x,x,x,x,x,x,x,x
125,2026-11-02,M,,,,NON-CLINICAL,CYTOLOGY,,,
126,2026-11-03,T,,,,NON-CLINICAL,,,,
127,2026-11-04,W,,,,NON-CLINICAL,CYTOLOGY,,,
128,2026-11-05,R,,x,,NON-CLINICAL,CYTOLOGY,,,
129,2026-11-06,F,CYTOLOGY,,,NON-CLINICAL,,,,
130,2026-11-07,St,x,x,x,x,x,x,x,x
131,2026-11-08,Su,x,x,x,x,x,x,x,x
132,2026-11-09,M,CYTOLOGY,,,NON-CLINICAL,,,,
133,2026-11-10,T,CYTOLOGY,,,NON-CLINICAL,,,,
134,2026-11-11,W,x,x,x,NON-CLINICAL,CYTOLOGY,x,x,x
135,2026-11-12,R,,x,,NON-CLINICAL,,,,
136,2026-11-13,F,,,,NON-CLINICAL,,,,
137,2026-11-14,St,x,x,x,x,x,x,x,x
138,2026-11-15,Su,x,x,x,x,x,x,x,x
139,2026-11-16,M,,,,NON-CLINICAL,CYTOLOGY,,,
140,2026-11-17,T,,,,NON-CLINICAL,CYTOLOGY,,,
141,2026-11-18,W,,,,NON-CLINICAL,CYTOLOGY,,,
142,2026-11-19,R,,x,,NON-CLINICAL,CYTOLOGY,,,
143,2026-11-20,F,,,,NON-CLINICAL,CYTOLOGY,,,
144,2026-11-21,St,x,x,x,x,x,x,x,x
145,2026-11-22,Su,x,x,x,x,x,x,x,x
146,2026-11-23,M,VACATION,,,NON-CLINICAL,CYTOLOGY,NON-CLINICAL,NON-CLINICAL,
147,2026-11-24,T,VACATION,,,NON-CLINICAL,CYTOLOGY,NON-CLINICAL,NON-CLINICAL,
148,2026-11-25,W,VACATION,,,NON-CLINICAL,CYTOLOGY,NON-CLINICAL,NON-CLINICAL,
149,2026-11-26,R,x,x,x,x,x,x,x,x
150,2026-11-27,F,x,x,x,x,x,x,x,x
151,2026-11-28,St,x,x,x,x,x,x,x,x
152,2026-11-29,Su,x,x,x,x,x,x,x,x
153,2026-11-30,M,,,,,CYTOLOGY,VACATION,,
154,2026-12-01,T,,,,,CYTOLOGY,VACATION,,
155,2026-12-02,W,,,,,CYTOLOGY,VACATION,,
156,2026-12-03,R,,x,,,CYTOLOGY,VACATION,,
157,2026-12-04,F,,,,,CYTOLOGY,VACATION,,
158,2026-12-05,St,x,x,x,x,x,x,x,x
159,2026-12-06,Su,x,x,x,x,x,x,x,x
160,2026-12-07,M,,,,,,,,
161,2026-12-08,T,,,,,,,,
162,2026-12-09,W,,,,,,,,
163,2026-12-10,R,,x,,,,,,
164,2026-12-11,F,,,,,,,,
165,2026-12-12,St,x,x,x,x,x,x,x,x
166,2026-12-13,Su,x,x,x,x,x,x,x,x
167,2026-12-14,M,,,,,CYTOLOGY,,,
168,2026-12-15,T,,,,,CYTOLOGY,,,
169,2026-12-16,W,,,,,CYTOLOGY,,,
170,2026-12-17,R,,x,,,CYTOLOGY,,,
171,2026-12-18,F,CYTOLOGY,,,,,,,
172,2026-12-19,St,x,x,x,x,x,x,x,x
173,2026-12-20,Su,x,x,x,x,x,x,x,x
174,2026-12-21,M,CYTOLOGY,,,,NON-CLINICAL,,NON-CLINICAL,
175,2026-12-22,T,CYTOLOGY,,,,NON-CLINICAL,,NON-CLINICAL,
176,2026-12-23,W,CYTOLOGY,,,,NON-CLINICAL,,NON-CLINICAL,
177,2026-12-24,R,CYTOLOGY,x,,,NON-CLINICAL,,NON-CLINICAL,
178,2026-12-25,F,x,x,x,x,x,x,x,x
179,2026-12-26,St,x,x,x,x,x,x,x,x
180,2026-12-27,Su,x,x,x,x,x,x,x,x
181,2026-12-28,M,,,,,NON-CLINICAL,NON-CLINICAL,,
182,2026-12-29,T,,,,,NON-CLINICAL,NON-CLINICAL,,
183,2026-12-30,W,,,,,NON-CLINICAL,NON-CLINICAL,,
184,2026-12-31,R,,x,,,NON-CLINICAL,NON-CLINICAL,,
